,Mouse ID,Drug Regimen,Sex,Age_months,Weight (g),Timepoint,Tumor Volume (mm3),Metastatic Sites,Max Timepoint
51,s508,Ramicane,Male,1,17,5,38.71187185,0,45
52,s508,Ramicane,Male,1,17,10,34.850997899999996,0,45
53,s508,Ramicane,Male,1,17,15,35.27690634,0,45
54,s508,Ramicane,Male,1,17,20,35.92865083,0,45
55,s508,Ramicane,Male,1,17,25,36.33856894,0,45
56,s508,Ramicane,Male,1,17,30,35.47402235,0,45
57,s508,Ramicane,Male,1,17,35,35.8461407,0,45
58,s508,Ramicane,Male,1,17,40,32.79817119,0,45
59,s508,Ramicane,Male,1,17,45,30.27623175,0,45
60,f966,Capomulin,Male,16,17,0,45.0,0,20
61,f966,Capomulin,Male,16,17,5,38.79647373,0,20
62,f966,Capomulin,Male,16,17,10,35.6244027,0,20
63,f966,Capomulin,Male,16,17,15,32.62300253,0,20
64,f966,Capomulin,Male,16,17,20,30.48598484,0,20
65,m546,Ramicane,Male,18,16,0,45.0,0,45
66,m546,Ramicane,Male,18,16,5,42.99887638,0,45
67,m546,Ramicane,Male,18,16,10,43.74822357,0,45
68,m546,Ramicane,Male,18,16,15,39.89743533,0,45
69,m546,Ramicane,Male,18,16,20,36.71229535,0,45
70,m546,Ramicane,Male,18,16,25,37.44444543,0,45
71,m546,Ramicane,Male,18,16,30,37.96993365,0,45
72,m546,Ramicane,Male,18,16,35,38.62753581,1,45
73,m546,Ramicane,Male,18,16,40,35.114575200000004,1,45
74,m546,Ramicane,Male,18,16,45,30.56462509,1,45
75,z578,Ramicane,Male,11,16,0,45.0,0,45
76,z578,Ramicane,Male,11,16,5,42.18878662,0,45
77,z578,Ramicane,Male,11,16,10,42.95211843,0,45
78,z578,Ramicane,Male,11,16,15,38.68851607,0,45
79,z578,Ramicane,Male,11,16,20,36.89001635,0,45
80,z578,Ramicane,Male,11,16,25,37.41411419,0,45
81,z578,Ramicane,Male,11,16,30,37.81593487,0,45
82,z578,Ramicane,Male,11,16,35,38.50482444,0,45
83,z578,Ramicane,Male,11,16,40,34.02209336,0,45
84,z578,Ramicane,Male,11,16,45,30.63869575,0,45
85,j913,Ramicane,Female,4,17,0,45.0,0,45
86,j913,Ramicane,Female,4,17,5,44.01490022,0,45
87,j913,Ramicane,Female,4,17,10,44.49716216,0,45
88,j913,Ramicane,Female,4,17,15,45.25253427,0,45
89,j913,Ramicane,Female,4,17,20,42.16834132,0,45
90,j913,Ramicane,Female,4,17,25,37.86066936,0,45
91,j913,Ramicane,Female,4,17,30,34.75724046,0,45
92,j913,Ramicane,Female,4,17,35,35.17014843,0,45
93,j913,Ramicane,Female,4,17,40,31.00186078,1,45
94,j913,Ramicane,Female,4,17,45,31.56046955,1,45
95,u364,Capomulin,Male,18,17,0,45.0,0,45
96,u364,Capomulin,Male,18,17,5,45.76088647,1,45
97,u364,Capomulin,Male,18,17,10,46.56841719,2,45
98,u364,Capomulin,Male,18,17,15,47.21219992,2,45
99,u364,Capomulin,Male,18,17,20,40.34394812,2,45
100,u364,Capomulin,Male,18,17,25,35.50361557,2,45
101,u364,Capomulin,Male,18,17,30,35.9783344,2,45
102,u364,Capomulin,Male,18,17,35,35.45948978,2,45
103,u364,Capomulin,Male,18,17,40,36.02413752,2,45
104,u364,Capomulin,Male,18,17,45,31.02392294,3,45
105,n364,Ramicane,Male,4,17,0,45.0,0,45
106,n364,Ramicane,Male,4,17,5,45.52187471,0,45
107,n364,Ramicane,Male,4,17,10,40.3751382,0,45
108,n364,Ramicane,Male,4,17,15,36.94027399,0,45
109,n364,Ramicane,Male,4,17,20,37.4788685,0,45
110,n364,Ramicane,Male,4,17,25,33.20500824,0,45
111,n364,Ramicane,Male,4,17,30,33.817758000000005,0,45
112,n364,Ramicane,Male,4,17,35,34.48752204,1,45
113,n364,Ramicane,Male,4,17,40,34.95473311,1,45
114,n364,Ramicane,Male,4,17,45,31.09533505,1,45
115,y793,Capomulin,Male,17,17,0,45.0,0,45
116,y793,Capomulin,Male,17,17,5,41.01991315,0,45
117,y793,Capomulin,Male,17,17,10,41.63001026,1,45
118,y793,Capomulin,Male,17,17,15,42.28366512,1,45
119,y793,Capomulin,Male,17,17,20,40.71642815,2,45
120,y793,Capomulin,Male,17,17,25,38.9927339,2,45
121,y793,Capomulin,Male,17,17,30,35.72602314,2,45
122,y793,Capomulin,Male,17,17,35,36.3278696,2,45
123,y793,Capomulin,Male,17,17,40,31.47541076,2,45
124,y793,Capomulin,Male,17,17,45,31.896238399999998,2,45
125,r554,Capomulin,Female,8,17,0,45.0,0,45
126,r554,Capomulin,Female,8,17,5,45.78174579,1,45
127,r554,Capomulin,Female,8,17,10,39.0054935,2,45
128,r554,Capomulin,Female,8,17,15,35.46375763,2,45
129,r554,Capomulin,Female,8,17,20,36.01558858,2,45
130,r554,Capomulin,Female,8,17,25,33.89334515,3,45
131,r554,Capomulin,Female,8,17,30,32.68065459,3,45
132,r554,Capomulin,Female,8,17,35,33.06933705,3,45
133,r554,Capomulin,Female,8,17,40,31.80484133,3,45
134,r554,Capomulin,Female,8,17,45,32.37735684,3,45
135,m957,Capomulin,Female,3,19,0,45.0,0,45
136,m957,Capomulin,Female,3,19,5,45.62238149,1,45
137,m957,Capomulin,Female,3,19,10,46.414517700000005,1,45
138,m957,Capomulin,Female,3,19,15,39.80445341,1,45
139,m957,Capomulin,Female,3,19,20,38.90934919,1,45
140,m957,Capomulin,Female,3,19,25,37.69543154,1,45
141,m957,Capomulin,Female,3,19,30,38.21247939,1,45
142,m957,Capomulin,Female,3,19,35,32.56283914,1,45
143,m957,Capomulin,Female,3,19,40,32.94761484,1,45
144,m957,Capomulin,Female,3,19,45,33.32909778,1,45
145,c758,Ramicane,Male,9,17,0,45.0,0,45
146,c758,Ramicane,Male,9,17,5,45.5786783,0,45
147,c758,Ramicane,Male,9,17,10,46.28799223,0,45
148,c758,Ramicane,Male,9,17,15,46.94094512,1,45
149,c758,Ramicane,Male,9,17,20,43.1263114,1,45
150,c758,Ramicane,Male,9,17,25,43.602267299999994,1,45
151,c758,Ramicane,Male,9,17,30,44.11827028,1,45
152,c758,Ramicane,Male,9,17,35,37.80238546,1,45
153,c758,Ramicane,Male,9,17,40,32.83318858,1,45
154,c758,Ramicane,Male,9,17,45,33.39765251,1,45
155,t565,Capomulin,Female,20,17,0,45.0,0,45
156,t565,Capomulin,Female,20,17,5,45.8956472,0,45
157,t565,Capomulin,Female,20,17,10,46.74900552,0,45
158,t565,Capomulin,Female,20,17,15,44.44094861,0,45
159,t565,Capomulin,Female,20,17,20,39.0702138,0,45
160,t565,Capomulin,Female,20,17,25,37.34220976,0,45
161,t565,Capomulin,Female,20,17,30,32.86891617,0,45
162,t565,Capomulin,Female,20,17,35,33.51567063,0,45
163,t565,Capomulin,Female,20,17,40,33.94934131,0,45
164,t565,Capomulin,Female,20,17,45,34.45529799,0,45
165,a644,Ramicane,Female,7,17,0,45.0,0,45
166,a644,Ramicane,Female,7,17,5,45.55015754,0,45
167,a644,Ramicane,Female,7,17,10,46.38071258,0,45
168,a644,Ramicane,Female,7,17,15,46.91089166,0,45
169,a644,Ramicane,Female,7,17,20,45.86506461,0,45
170,a644,Ramicane,Female,7,17,25,41.48122408,0,45
171,a644,Ramicane,Female,7,17,30,37.21112063,0,45
172,a644,Ramicane,Female,7,17,35,35.12863083,0,45
173,a644,Ramicane,Female,7,17,40,35.77945086,0,45
174,a644,Ramicane,Female,7,17,45,32.97852192,1,45
175,i177,Ramicane,Male,10,18,0,45.0,0,45
176,i177,Ramicane,Male,10,18,5,44.06539783,0,45
177,i177,Ramicane,Male,10,18,10,41.02092924,0,45
178,i177,Ramicane,Male,10,18,15,40.33093479,0,45
179,i177,Ramicane,Male,10,18,20,35.34536136,0,45
180,i177,Ramicane,Male,10,18,25,34.0821803,1,45
181,i177,Ramicane,Male,10,18,30,34.71147302,1,45
182,i177,Ramicane,Male,10,18,35,35.1521662,1,45
183,i177,Ramicane,Male,10,18,40,35.55793279,2,45
184,i177,Ramicane,Male,10,18,45,33.56240217,3,45
185,j989,Ramicane,Male,8,19,0,45.0,0,45
186,j989,Ramicane,Male,8,19,5,45.62071835,1,45
187,j989,Ramicane,Male,8,19,10,46.34383237,1,45
188,j989,Ramicane,Male,8,19,15,41.12835439,1,45
189,j989,Ramicane,Male,8,19,20,41.63534426,1,45
190,j989,Ramicane,Male,8,19,25,39.93411249,1,45
191,j989,Ramicane,Male,8,19,30,34.67178107,1,45
192,j989,Ramicane,Male,8,19,35,35.1155898,1,45
193,j989,Ramicane,Male,8,19,40,35.50119014,1,45
194,j989,Ramicane,Male,8,19,45,36.13485243,1,45
195,i738,Capomulin,Female,23,20,0,45.0,0,45
196,i738,Capomulin,Female,23,20,5,45.59568527,0,45
197,i738,Capomulin,Female,23,20,10,43.42101414,0,45
198,i738,Capomulin,Female,23,20,15,37.97877782,0,45
199,i738,Capomulin,Female,23,20,20,38.53113634,0,45
200,i738,Capomulin,Female,23,20,25,34.97343761,0,45
201,i738,Capomulin,Female,23,20,30,35.57877987,1,45
202,i738,Capomulin,Female,23,20,35,36.17595269,1,45
203,i738,Capomulin,Female,23,20,40,36.84389799,2,45
204,i738,Capomulin,Female,23,20,45,37.31184577,2,45
205,a520,Ramicane,Male,13,21,0,45.0,0,45
206,a520,Ramicane,Male,13,21,5,38.72370695,0,45
207,a520,Ramicane,Male,13,21,10,36.42938781,0,45
208,a520,Ramicane,Male,13,21,15,35.590253999999995,0,45
209,a520,Ramicane,Male,13,21,20,35.94774514,0,45
210,a520,Ramicane,Male,13,21,25,36.55858129,1,45
211,a520,Ramicane,Male,13,21,30,36.94770981,1,45
212,a520,Ramicane,Male,13,21,35,37.62471026,1,45
213,a520,Ramicane,Male,13,21,40,38.25972497,1,45
214,a520,Ramicane,Male,13,21,45,38.81036633,1,45
215,w914,Capomulin,Male,24,21,0,45.0,0,45
216,w914,Capomulin,Male,24,21,5,45.89372032,0,45
217,w914,Capomulin,Male,24,21,10,43.23196275,0,45
218,w914,Capomulin,Male,24,21,15,43.68844893,0,45
219,w914,Capomulin,Male,24,21,20,41.10809233,0,45
220,w914,Capomulin,Male,24,21,25,40.29191661,0,45
221,w914,Capomulin,Male,24,21,30,40.99311013,0,45
222,w914,Capomulin,Male,24,21,35,41.66491577,1,45
223,w914,Capomulin,Male,24,21,40,35.61130861,2,45
224,w914,Capomulin,Male,24,21,45,36.04104736,2,45
225,r811,Ramicane,Male,9,19,0,45.0,0,45
226,r811,Ramicane,Male,9,19,5,45.62580225,0,45
227,r811,Ramicane,Male,9,19,10,39.453903000000004,0,45
228,r811,Ramicane,Male,9,19,15,40.02229235,0,45
229,r811,Ramicane,Male,9,19,20,40.7728027,0,45
230,r811,Ramicane,Male,9,19,25,37.61401068,0,45
231,r811,Ramicane,Male,9,19,30,38.24206639,0,45
232,r811,Ramicane,Male,9,19,35,36.00302016,1,45
233,r811,Ramicane,Male,9,19,40,36.5200329,1,45
234,r811,Ramicane,Male,9,19,45,37.22565033,1,45
235,g288,Capomulin,Male,3,19,0,45.0,0,45
236,g288,Capomulin,Male,3,19,5,45.83939976,0,45
237,g288,Capomulin,Male,3,19,10,46.30400254,1,45
238,g288,Capomulin,Male,3,19,15,42.17230079,1,45
239,g288,Capomulin,Male,3,19,20,42.95712001,1,45
240,g288,Capomulin,Male,3,19,25,42.36869239,1,45
241,g288,Capomulin,Male,3,19,30,42.87446056,1,45
242,g288,Capomulin,Male,3,19,35,38.95411458,1,45
243,g288,Capomulin,Male,3,19,40,36.35685121,1,45
244,g288,Capomulin,Male,3,19,45,37.07402422,1,45
245,i334,Ramicane,Female,8,20,0,45.0,0,45
246,i334,Ramicane,Female,8,20,5,41.02051821,0,45
247,i334,Ramicane,Female,8,20,10,41.63124731,0,45
248,i334,Ramicane,Female,8,20,15,39.15800115,0,45
249,i334,Ramicane,Female,8,20,20,39.687831700000004,0,45
250,i334,Ramicane,Female,8,20,25,38.24881732,1,45
251,i334,Ramicane,Female,8,20,30,39.00555435,1,45
252,i334,Ramicane,Female,8,20,35,39.7695521,2,45
253,i334,Ramicane,Female,8,20,40,40.44237037,2,45
254,i334,Ramicane,Female,8,20,45,36.37451039,2,45
255,q610,Ramicane,Female,18,21,0,45.0,0,35
256,q610,Ramicane,Female,18,21,5,45.62949421,0,35
257,q610,Ramicane,Female,18,21,10,44.99148471,0,35
258,q610,Ramicane,Female,18,21,15,45.88902756,0,35
259,q610,Ramicane,Female,18,21,20,46.58543347,0,35
260,q610,Ramicane,Female,18,21,25,40.14645019,0,35
261,q610,Ramicane,Female,18,21,30,40.66834256,1,35
262,q610,Ramicane,Female,18,21,35,36.56165229,2,35
263,d251,Ramicane,Female,8,19,0,45.0,0,45
264,d251,Ramicane,Female,8,19,5,41.74635495,1,45
265,d251,Ramicane,Female,8,19,10,42.43225791,1,45
266,d251,Ramicane,Female,8,19,15,39.47278744,1,45
267,d251,Ramicane,Female,8,19,20,37.65209085,1,45
268,d251,Ramicane,Female,8,19,25,38.09751328,1,45
269,d251,Ramicane,Female,8,19,30,38.71825638,2,45
270,d251,Ramicane,Female,8,19,35,37.70852942,2,45
271,d251,Ramicane,Female,8,19,40,38.26540379,2,45
272,d251,Ramicane,Female,8,19,45,37.31123552,2,45
273,l897,Capomulin,Male,17,19,0,45.0,0,45
274,l897,Capomulin,Male,17,19,5,45.46224327,0,45
275,l897,Capomulin,Male,17,19,10,46.15473721,0,45
276,l897,Capomulin,Male,17,19,15,44.0615214,0,45
277,l897,Capomulin,Male,17,19,20,44.81309343,0,45
278,l897,Capomulin,Male,17,19,25,45.35467916,0,45
279,l897,Capomulin,Male,17,19,30,39.35279201,1,45
280,l897,Capomulin,Male,17,19,35,37.68276664,1,45
281,l897,Capomulin,Male,17,19,40,38.34390154,1,45
282,l897,Capomulin,Male,17,19,45,38.84687569,1,45
283,c458,Ramicane,Female,23,20,0,45.0,0,30
284,c458,Ramicane,Female,23,20,5,45.72227949,0,30
285,c458,Ramicane,Female,23,20,10,44.45437828,1,30
286,c458,Ramicane,Female,23,20,15,45.10742313,2,30
287,c458,Ramicane,Female,23,20,20,39.50513508,2,30
288,c458,Ramicane,Female,23,20,25,37.75314964,2,30
289,c458,Ramicane,Female,23,20,30,38.34200823,2,30
290,b742,Capomulin,Male,7,21,0,45.0,0,45
291,b742,Capomulin,Male,7,21,5,41.53409702,0,45
292,b742,Capomulin,Male,7,21,10,41.99922813,0,45
293,b742,Capomulin,Male,7,21,15,39.52484301,0,45
294,b742,Capomulin,Male,7,21,20,37.95035546,0,45
295,b742,Capomulin,Male,7,21,25,38.61768433,0,45
296,b742,Capomulin,Male,7,21,30,39.1679495,0,45
297,b742,Capomulin,Male,7,21,35,39.84757556,0,45
298,b742,Capomulin,Male,7,21,40,38.255627399999995,0,45
299,b742,Capomulin,Male,7,21,45,38.93963263,0,45
300,b128,Capomulin,Female,9,22,0,45.0,0,45
301,b128,Capomulin,Female,9,22,5,45.65133131,0,45
302,b128,Capomulin,Female,9,22,10,43.2708519,0,45
303,b128,Capomulin,Female,9,22,15,43.78489343,0,45
304,b128,Capomulin,Female,9,22,20,42.731552,0,45
305,b128,Capomulin,Female,9,22,25,43.26214483,1,45
306,b128,Capomulin,Female,9,22,30,40.60533486,1,45
307,b128,Capomulin,Female,9,22,35,37.96764437,1,45
308,b128,Capomulin,Female,9,22,40,38.3797259,2,45
309,b128,Capomulin,Female,9,22,45,38.98287774,2,45
310,j246,Capomulin,Female,21,21,0,45.0,0,35
311,j246,Capomulin,Female,21,21,5,45.64143788,0,35
312,j246,Capomulin,Female,21,21,10,46.408361299999996,0,35
313,j246,Capomulin,Female,21,21,15,43.31265415,0,35
314,j246,Capomulin,Female,21,21,20,44.02037009,0,35
315,j246,Capomulin,Female,21,21,25,44.55522595,0,35
316,j246,Capomulin,Female,21,21,30,38.04408202,1,35
317,j246,Capomulin,Female,21,21,35,38.75326548,1,35
318,a411,Ramicane,Male,3,22,0,45.0,0,45
319,a411,Ramicane,Male,3,22,5,45.46667714,0,45
320,a411,Ramicane,Male,3,22,10,40.75978762,1,45
321,a411,Ramicane,Male,3,22,15,41.48416885,1,45
322,a411,Ramicane,Male,3,22,20,38.08737318,1,45
323,a411,Ramicane,Male,3,22,25,38.701438399999994,1,45
324,a411,Ramicane,Male,3,22,30,39.13073724,1,45
325,a411,Ramicane,Male,3,22,35,39.71723589,1,45
326,a411,Ramicane,Male,3,22,40,40.25881765,1,45
327,a411,Ramicane,Male,3,22,45,38.407618299999996,1,45
328,j119,Capomulin,Female,7,23,0,45.0,0,45
329,j119,Capomulin,Female,7,23,5,45.83899787,0,45
330,j119,Capomulin,Female,7,23,10,46.42536551,0,45
331,j119,Capomulin,Female,7,23,15,47.32298428,0,45
332,j119,Capomulin,Female,7,23,20,48.15820939,1,45
333,j119,Capomulin,Female,7,23,25,42.41716589,1,45
334,j119,Capomulin,Female,7,23,30,43.01368114,1,45
335,j119,Capomulin,Female,7,23,35,43.76570537,1,45
336,j119,Capomulin,Female,7,23,40,44.5850896,1,45
337,j119,Capomulin,Female,7,23,45,38.125164399999996,1,45
338,w150,Capomulin,Male,23,23,0,45.0,0,10
339,w150,Capomulin,Male,23,23,5,39.20212894,0,10
340,w150,Capomulin,Male,23,23,10,39.95234669,0,10
341,v923,Capomulin,Female,19,21,0,45.0,0,45
342,v923,Capomulin,Female,19,21,5,45.70443431,0,45
343,v923,Capomulin,Female,19,21,10,39.84822328,0,45
344,v923,Capomulin,Female,19,21,15,40.45798877,0,45
345,v923,Capomulin,Female,19,21,20,39.64829568,0,45
346,v923,Capomulin,Female,19,21,25,40.15641269,1,45
347,v923,Capomulin,Female,19,21,30,40.75221626,2,45
348,v923,Capomulin,Female,19,21,35,41.43924156,2,45
349,v923,Capomulin,Female,19,21,40,42.1510148,2,45
350,v923,Capomulin,Female,19,21,45,40.65812366,2,45
351,g316,Capomulin,Female,22,22,0,45.0,0,45
352,g316,Capomulin,Female,22,22,5,44.02275246,0,45
353,g316,Capomulin,Female,22,22,10,44.50204246,0,45
354,g316,Capomulin,Female,22,22,15,45.21674299,0,45
355,g316,Capomulin,Female,22,22,20,45.93332219,1,45
356,g316,Capomulin,Female,22,22,25,46.80922469,1,45
357,g316,Capomulin,Female,22,22,30,44.22147988,2,45
358,g316,Capomulin,Female,22,22,35,44.70283296,2,45
359,g316,Capomulin,Female,22,22,40,45.56582103,2,45
360,g316,Capomulin,Female,22,22,45,40.1592203,2,45
361,s710,Capomulin,Female,1,23,0,45.0,0,45
362,s710,Capomulin,Female,1,23,5,43.180977399999996,0,45
363,s710,Capomulin,Female,1,23,10,43.68802627,0,45
364,s710,Capomulin,Female,1,23,15,41.84523536,0,45
365,s710,Capomulin,Female,1,23,20,42.62996266,1,45
366,s710,Capomulin,Female,1,23,25,43.06040875,1,45
367,s710,Capomulin,Female,1,23,30,43.57170323,1,45
368,s710,Capomulin,Female,1,23,35,44.16051879,1,45
369,s710,Capomulin,Female,1,23,40,40.17192011,1,45
370,s710,Capomulin,Female,1,23,45,40.72857787,1,45
371,l509,Capomulin,Male,17,21,0,45.0,0,45
372,l509,Capomulin,Male,17,21,5,45.85119285,0,45
373,l509,Capomulin,Male,17,21,10,46.75907363,0,45
374,l509,Capomulin,Male,17,21,15,47.48859931,1,45
375,l509,Capomulin,Male,17,21,20,48.07045162,2,45
376,l509,Capomulin,Male,17,21,25,44.00625702,2,45
377,l509,Capomulin,Male,17,21,30,44.70805473,2,45
378,l509,Capomulin,Male,17,21,35,40.207288500000004,2,45
379,l509,Capomulin,Male,17,21,40,40.77081259,2,45
380,l509,Capomulin,Male,17,21,45,41.48300765,3,45
381,r944,Capomulin,Male,12,25,0,45.0,0,45
382,r944,Capomulin,Male,12,25,5,45.73714484,0,45
383,r944,Capomulin,Male,12,25,10,46.54429202,0,45
384,r944,Capomulin,Male,12,25,15,47.37342325,0,45
385,r944,Capomulin,Male,12,25,20,43.22567119,1,45
386,r944,Capomulin,Male,12,25,25,41.08699106,1,45
387,r944,Capomulin,Male,12,25,30,41.68079111,1,45
388,r944,Capomulin,Male,12,25,35,40.40176542,2,45
389,r944,Capomulin,Male,12,25,40,41.04204489999999,2,45
390,r944,Capomulin,Male,12,25,45,41.58152074,2,45
391,e662,Ramicane,Male,8,24,0,45.0,0,45
392,e662,Ramicane,Male,8,24,5,45.81628252,0,45
393,e662,Ramicane,Male,8,24,10,46.40908385,0,45
394,e662,Ramicane,Male,8,24,15,43.55377339,0,45
395,e662,Ramicane,Male,8,24,20,44.0012958,0,45
396,e662,Ramicane,Male,8,24,25,44.66459432,1,45
397,e662,Ramicane,Male,8,24,30,45.35023242,1,45
398,e662,Ramicane,Male,8,24,35,43.22027636,1,45
399,e662,Ramicane,Male,8,24,40,44.00672385,2,45
400,e662,Ramicane,Male,8,24,45,40.65900627,2,45
401,u196,Ramicane,Male,18,25,0,45.0,0,45
402,u196,Ramicane,Male,18,25,5,45.55746444,1,45
403,u196,Ramicane,Male,18,25,10,46.42294306,1,45
404,u196,Ramicane,Male,18,25,15,47.22717065,1,45
405,u196,Ramicane,Male,18,25,20,46.10536303,1,45
406,u196,Ramicane,Male,18,25,25,46.70532539999999,1,45
407,u196,Ramicane,Male,18,25,30,47.62281636,2,45
408,u196,Ramicane,Male,18,25,35,47.00146542,2,45
409,u196,Ramicane,Male,18,25,40,43.45368679,2,45
410,u196,Ramicane,Male,18,25,45,40.66771292,3,45
411,q597,Ramicane,Male,20,25,0,45.0,0,45
412,q597,Ramicane,Male,20,25,5,45.76611104,0,45
413,q597,Ramicane,Male,20,25,10,42.53798598,0,45
414,q597,Ramicane,Male,20,25,15,41.39566036,0,45
415,q597,Ramicane,Male,20,25,20,41.9255866,0,45
416,q597,Ramicane,Male,20,25,25,42.57570709,1,45
417,q597,Ramicane,Male,20,25,30,43.33916123,1,45
418,q597,Ramicane,Male,20,25,35,43.80720142,1,45
419,q597,Ramicane,Male,20,25,40,44.47182121,2,45
420,q597,Ramicane,Male,20,25,45,45.22086888,2,45
421,a444,Ramicane,Female,10,25,0,45.0,0,45
422,a444,Ramicane,Female,10,25,5,44.00597487,0,45
423,a444,Ramicane,Female,10,25,10,44.51255951,0,45
424,a444,Ramicane,Female,10,25,15,43.00127957,0,45
425,a444,Ramicane,Female,10,25,20,41.71461874,0,45
426,a444,Ramicane,Female,10,25,25,42.29139437,0,45
427,a444,Ramicane,Female,10,25,30,42.78627835,0,45
428,a444,Ramicane,Female,10,25,35,41.73595083,0,45
429,a444,Ramicane,Female,10,25,40,42.50492554,0,45
430,a444,Ramicane,Female,10,25,45,43.04754260000001,0,45
431,i557,Capomulin,Female,1,24,0,45.0,0,45
432,i557,Capomulin,Female,1,24,5,42.2616653,0,45
433,i557,Capomulin,Female,1,24,10,42.99207658,0,45
434,i557,Capomulin,Female,1,24,15,43.529875700000005,0,45
435,i557,Capomulin,Female,1,24,20,43.96789516,0,45
436,i557,Capomulin,Female,1,24,25,44.59621854,0,45
437,i557,Capomulin,Female,1,24,30,45.26138381,0,45
438,i557,Capomulin,Female,1,24,35,45.94194901,0,45
439,i557,Capomulin,Female,1,24,40,46.82106972,1,45
440,i557,Capomulin,Female,1,24,45,47.68596303,1,45
441,r921,Ramicane,Female,5,25,0,45.0,0,30
442,r921,Ramicane,Female,5,25,5,45.56821083,0,30
443,r921,Ramicane,Female,5,25,10,42.71192694,0,30
444,r921,Ramicane,Female,5,25,15,43.52726054,0,30
445,r921,Ramicane,Female,5,25,20,44.13631588,0,30
446,r921,Ramicane,Female,5,25,25,42.65534089,1,30
447,r921,Ramicane,Female,5,25,30,43.41938077,1,30
448,w678,Ramicane,Female,5,24,0,45.0,0,5
449,w678,Ramicane,Female,5,24,5,43.16637266,0,5
450,y449,Ramicane,Male,19,24,0,45.0,0,15
451,y449,Ramicane,Male,19,24,5,45.87754494,0,15
452,y449,Ramicane,Male,19,24,10,46.37809248,0,15
453,y449,Ramicane,Male,19,24,15,44.18345092,0,15
454,a203,Infubinol,Female,20,23,0,45.0,0,45
455,a203,Infubinol,Female,20,23,5,48.5084684,0,45
456,a203,Infubinol,Female,20,23,10,51.852437200000004,1,45
457,a203,Infubinol,Female,20,23,15,52.7778705,1,45
458,a203,Infubinol,Female,20,23,20,55.17333648,1,45
459,a203,Infubinol,Female,20,23,25,56.79320832,1,45
460,a203,Infubinol,Female,20,23,30,59.52319728,1,45
461,a203,Infubinol,Female,20,23,35,61.93165007,2,45
462,a203,Infubinol,Female,20,23,40,63.59349002,2,45
463,a203,Infubinol,Female,20,23,45,67.97341878,2,45
